iter	Passed	Remaining
951	2972	149
952	2975	146
953	2978	143
954	2981	140
955	2984	137
956	2987	134
957	2990	131
958	2993	127
959	2996	124
960	3000	121
961	3003	118
962	3005	115
963	3008	112
964	3011	109
965	3014	106
966	3017	102
967	3021	99
968	3024	96
969	3027	93
970	3030	90
971	3033	87
972	3036	84
973	3039	81
974	3042	78
975	3044	74
976	3047	71
977	3050	68
978	3054	65
979	3057	62
980	3060	59
981	3063	56
982	3066	53
983	3069	49
984	3072	46
985	3075	43
986	3079	40
987	3081	37
988	3084	34
989	3087	31
990	3090	28
991	3093	24
992	3096	21
993	3099	18
994	3102	15
995	3104	12
996	3107	9
997	3110	6
998	3113	3
999	3116	0
